intern_id,intern_name,task_completion_rate,avg_task_completion_time,attendance_percentage,feedback_rating,deadlines_missed,github_commits,communication_score,learning_speed,meeting_participation,work_hours_per_day,stress_level,final_performance_score,performance_category
2891,Danielle Benson,69,11.55,76,2.8,4,64,3,5,6,8.6,1,46.01,Needs Improvement
2892,Rachel Kennedy,63,7.54,76,4.5,5,250,5,10,5,3.5,8,45.92,Needs Improvement
2893,Nicole Smith,94,6.76,55,4.9,8,138,7,2,3,5.2,1,57.84,Needs Improvement
2894,Tracy Perkins,83,5.93,54,4.6,2,274,7,7,7,8.0,5,69.89,Average
2895,William Russell,43,7.36,97,2.5,1,112,9,4,8,5.0,7,51.6,Needs Improvement
2896,Beth Morales,49,14.17,67,1.5,0,214,3,6,7,5.8,2,35.14,Needs Improvement
2897,Eric Little,64,8.97,88,3.0,3,174,4,1,4,10.1,5,45.4,Needs Improvement
2898,Jose Hernandez,77,9.31,78,1.4,3,174,5,9,4,7.8,1,49.28,Needs Improvement
2899,Justin Owen,54,10.0,74,1.6,2,203,9,8,1,5.2,10,33.17,Needs Improvement
2900,David Sosa,97,5.11,68,1.3,2,126,10,5,6,8.4,10,52.12,Needs Improvement
2901,Tony Garrison,47,8.29,67,3.1,8,221,4,3,2,5.2,2,21.47,Needs Improvement
2902,David Richardson,92,3.8,62,4.3,4,172,4,5,7,10.0,8,68.77,Average
2903,Tracy Rodriguez,61,13.2,83,4.2,8,207,7,5,7,4.9,4,34.5,Needs Improvement
2904,Cheryl Lane,49,6.75,60,2.6,4,295,1,6,2,6.7,7,43.17,Needs Improvement
2905,Martha Martin,99,1.66,85,1.1,9,138,6,10,6,6.8,3,60.51,Average
2906,Wanda Hendrix,48,9.01,75,3.1,6,109,8,8,9,2.6,6,36.37,Needs Improvement
2907,Dana Adams,89,10.21,92,2.4,10,152,8,9,9,7.3,8,46.11,Needs Improvement
2908,Bradley Hanson DDS,54,9.08,79,2.2,8,41,1,10,6,8.7,1,31.82,Needs Improvement
2909,Todd Cruz,82,9.16,74,2.8,1,243,6,10,10,3.1,7,61.25,Average
2910,Alicia Lewis,89,14.84,76,3.0,8,228,1,4,9,9.1,8,32.84,Needs Improvement
2911,Kelly Jones,64,11.17,71,1.3,6,184,5,3,9,7.6,1,40.13,Needs Improvement
2912,Samantha Williams,82,4.39,83,1.2,6,151,8,3,9,3.3,10,36.85,Needs Improvement
2913,Judith Lee,55,10.05,69,3.1,3,211,1,6,8,8.9,3,47.19,Needs Improvement
2914,Erika Guzman,45,12.45,57,2.7,4,50,8,5,3,9.7,7,31.46,Needs Improvement
2915,Gregory Thomas,84,4.19,86,4.1,2,39,6,9,7,11.6,6,87.02,Excellent
2916,Laura Romero,43,7.11,85,1.4,1,54,8,10,2,8.2,5,52.95,Needs Improvement
2917,Jennifer Garcia,40,5.63,61,3.3,7,81,1,9,2,3.2,5,22.75,Needs Improvement
2918,Melissa Thomas,48,9.69,93,1.3,0,40,9,4,8,9.5,3,53.84,Needs Improvement
2919,Kylie Hartman,100,8.77,75,1.9,8,295,9,4,10,11.2,10,49.38,Needs Improvement
2920,Christopher Clayton,66,14.22,89,3.9,5,189,3,5,3,3.5,7,25.07,Needs Improvement
2921,Elizabeth Sullivan,65,5.95,93,4.8,0,241,2,3,7,10.3,1,74.91,Average
2922,Robin Stephenson,68,6.51,50,2.4,3,105,8,5,1,6.1,9,41.28,Needs Improvement
2923,Carla Schroeder,59,10.32,63,2.5,2,44,5,9,5,10.6,6,50.95,Needs Improvement
2924,Charles Hartman,83,8.11,53,4.6,6,218,10,6,1,10.9,4,55.97,Needs Improvement
2925,Sheri Burton,68,6.14,57,4.1,2,114,2,6,9,9.0,5,56.51,Needs Improvement
2926,Matthew Murphy,100,4.17,70,2.8,3,220,6,9,1,9.1,1,73.56,Average
2927,Crystal Drake,99,2.17,55,2.8,10,68,9,8,3,5.3,10,42.33,Needs Improvement
2928,Audrey Gordon,40,14.8,80,3.0,9,149,2,1,9,10.0,7,19.27,Needs Improvement
2929,Eric Dyer,47,14.89,90,2.5,4,176,6,3,4,2.8,6,23.74,Needs Improvement
2930,Erin Stanton,81,3.55,92,2.0,2,94,7,3,6,4.3,7,55.94,Needs Improvement
2931,Monica Schultz,95,3.53,53,4.3,8,283,8,1,1,7.2,7,51.2,Needs Improvement
2932,Mark Cox,58,13.48,59,3.6,0,114,6,1,8,3.8,8,26.14,Needs Improvement
2933,David Lopez,68,8.17,63,3.6,5,214,8,3,5,9.8,9,49.86,Needs Improvement
2934,Kevin Hall,50,1.69,66,4.6,9,233,5,3,7,6.8,3,57.88,Needs Improvement
2935,Colton Haynes,81,5.5,60,2.1,10,165,6,3,6,5.5,8,31.73,Needs Improvement
2936,Sarah Frye,94,8.0,78,1.0,7,199,1,10,5,4.9,1,39.29,Needs Improvement
2937,Mark Cook,61,2.42,81,2.7,3,149,6,1,5,9.1,7,53.8,Needs Improvement
2938,Jim Webb,86,10.53,90,1.9,6,170,6,5,8,12.0,4,60.17,Average
2939,William Knight Jr.,40,9.6,80,2.9,4,274,5,6,5,5.3,7,30.49,Needs Improvement
2940,Brian Rowe,52,2.43,82,4.9,3,99,5,9,1,6.1,4,60.32,Average
2941,Kristen Thomas,57,9.62,64,4.6,8,101,2,1,6,10.2,6,37.26,Needs Improvement
2942,Mrs. Shelly Ray,48,1.78,90,2.7,8,208,3,2,1,2.7,3,31.83,Needs Improvement
2943,Charlotte Johnson,93,9.44,100,1.4,5,189,2,9,6,3.5,10,38.82,Needs Improvement
2944,Jesse Jimenez,48,8.17,92,3.0,4,195,3,10,8,9.6,8,53.46,Needs Improvement
2945,Brandon Carpenter,40,14.76,60,2.8,0,114,2,7,10,9.3,3,44.34,Needs Improvement
2946,Timothy Cook,86,2.68,97,1.2,2,58,6,3,7,3.2,9,51.83,Needs Improvement
2947,Nichole Martin,91,6.16,63,4.1,9,153,2,4,5,8.5,5,52.9,Needs Improvement
2948,Garrett Martinez,68,11.63,86,4.9,3,155,1,8,5,11.0,2,63.11,Average
2949,Dr. Adam Potter,58,11.64,59,4.4,4,83,9,9,8,7.8,5,44.85,Needs Improvement
2950,Emily Underwood,52,2.61,84,1.2,7,250,8,10,6,6.0,3,58.9,Needs Improvement
2951,Dr. Sophia Davis DVM,81,3.65,98,1.3,9,18,2,1,8,3.0,1,38.9,Needs Improvement
2952,Tricia Thomas,100,11.49,73,4.4,7,47,3,8,1,3.8,5,41.03,Needs Improvement
2953,Richard Myers,77,1.63,54,4.2,9,210,2,10,2,11.0,8,54.16,Needs Improvement
2954,Lauren Brock,71,14.31,54,2.6,8,97,10,9,6,7.8,4,31.02,Needs Improvement
2955,Susan Nolan,71,3.71,99,3.0,3,240,2,5,10,11.6,3,79.24,Average
2956,Jennifer Le,45,7.39,92,4.3,1,245,3,8,3,5.5,4,59.84,Needs Improvement
2957,Randy Hendricks,75,5.68,68,3.7,8,238,4,3,5,3.8,5,41.56,Needs Improvement
2958,Michael Gross,46,7.23,74,2.4,3,195,2,6,10,8.3,1,49.27,Needs Improvement
2959,Drew Leonard,92,10.05,54,2.8,9,76,8,10,1,2.1,7,23.19,Needs Improvement
2960,Susan Miles,67,3.44,56,3.5,3,205,2,2,8,7.7,1,59.14,Needs Improvement
2961,Bryan Holt,77,5.13,83,1.4,3,157,4,5,10,7.7,9,48.76,Needs Improvement
2962,Jordan Taylor,44,9.83,99,3.8,0,106,1,10,8,3.3,7,42.02,Needs Improvement
2963,Diana Garcia,62,4.43,88,1.2,7,52,6,4,2,6.9,2,53.64,Needs Improvement
2964,Carolyn Duffy MD,72,14.58,59,4.5,2,108,6,3,9,4.3,6,27.28,Needs Improvement
2965,Danielle Martin,79,6.41,68,3.4,6,202,6,1,4,10.3,2,54.56,Needs Improvement
2966,Michael Walls,93,14.94,58,1.9,10,134,3,6,3,5.8,3,31.66,Needs Improvement
2967,Edward Dudley,71,6.71,76,1.1,7,115,8,7,5,9.1,2,47.05,Needs Improvement
2968,Erin Roberts,96,3.13,93,2.2,9,283,4,1,6,6.0,4,42.89,Needs Improvement
2969,Angela Dickson,65,13.83,97,3.2,5,142,3,9,1,4.8,6,32.94,Needs Improvement
2970,Elizabeth Cuevas,99,6.09,61,2.5,6,40,8,10,9,7.2,8,49.05,Needs Improvement
2971,Mr. Richard Scott,80,14.25,51,1.3,0,256,5,6,9,2.4,4,38.43,Needs Improvement
2972,Daniel Sullivan,45,11.89,73,2.1,10,289,2,8,2,5.1,9,14.51,Needs Improvement
2973,Emily Jackson,96,14.45,79,3.6,7,181,9,2,3,11.7,6,42.83,Needs Improvement
2974,Melanie Castillo,91,4.1,60,4.7,2,197,10,1,6,7.3,10,74.49,Average
2975,Amanda Robbins,53,4.14,97,1.6,6,93,10,10,4,3.1,6,41.7,Needs Improvement
2976,Brady Thompson,76,3.51,90,1.2,7,203,6,4,4,7.6,4,40.14,Needs Improvement
2977,Patricia Martin,84,12.78,71,3.2,2,136,10,1,10,9.2,4,52.03,Needs Improvement
2978,Ashley Bailey,41,2.78,94,4.8,0,186,4,10,2,4.2,5,63.98,Average
2979,Megan Clark,61,3.93,97,3.8,1,179,5,8,6,8.2,3,85.48,Excellent
2980,Juan Lawson,94,14.02,58,4.3,1,244,3,7,3,4.3,2,49.48,Needs Improvement
2981,Jacob Howell,98,9.64,87,3.3,8,180,1,8,1,2.5,4,40.02,Needs Improvement
2982,Andrea Stewart,44,12.08,98,3.7,2,174,3,2,5,11.6,10,39.81,Needs Improvement
2983,Patricia Ellis,80,10.81,50,3.7,2,148,9,1,1,10.9,3,55.79,Needs Improvement
2984,Christopher Scott,44,4.99,86,2.8,2,72,7,7,8,2.8,2,54.46,Needs Improvement
2985,Samantha Holland,98,9.98,76,3.9,9,249,5,8,3,5.0,9,41.89,Needs Improvement
2986,April Wolfe,46,11.29,82,4.8,2,219,5,8,2,4.3,7,49.32,Needs Improvement
2987,Ricky Johnson,59,6.38,58,3.7,5,230,4,6,9,6.7,10,39.91,Needs Improvement
2988,Kenneth Hill,48,11.6,95,2.9,6,111,7,9,4,9.1,8,39.84,Needs Improvement
2989,Barbara Casey DDS,79,1.23,55,2.2,9,77,2,3,6,4.3,4,31.02,Needs Improvement
2990,Alejandro Howard,79,12.9,62,4.9,3,116,7,6,3,3.5,4,53.75,Needs Improvement
2991,Brandon Garcia,76,1.48,67,3.5,5,70,4,10,1,4.1,1,60.6,Average
2992,Christine Phillips,68,6.0,91,1.3,5,70,7,4,2,2.4,10,15.22,Needs Improvement
2993,Jessica Simmons,87,13.49,72,4.1,2,284,5,6,8,2.3,3,51.69,Needs Improvement
2994,Henry Valenzuela,43,13.91,64,4.7,9,38,2,2,10,5.8,4,12.42,Needs Improvement
2995,Jason Pham,44,5.78,63,4.8,3,176,6,6,2,9.5,7,52.83,Needs Improvement
2996,Michael Johnson,56,6.87,80,1.3,1,212,6,10,1,7.9,10,47.07,Needs Improvement
2997,Jasmine Livingston,43,1.44,97,4.0,10,229,9,8,2,2.6,10,38.99,Needs Improvement
2998,Michael Meyer,98,3.87,64,3.8,9,13,10,1,9,11.7,7,58.11,Needs Improvement
2999,Kayla Leon,51,11.57,93,4.2,10,123,10,5,4,2.3,8,24.48,Needs Improvement
3000,Angelica Davis,68,9.13,65,3.4,6,57,4,9,6,2.4,6,33.07,Needs Improvement
3001,Kevin Kennedy,63,12.81,82,4.3,2,257,6,8,8,9.7,8,63.26,Average
3002,Amber Love,50,12.81,72,2.1,6,213,10,2,10,9.1,2,40.63,Needs Improvement
3003,Jose Davis,59,8.54,60,3.2,1,17,2,8,8,7.9,8,44.53,Needs Improvement
3004,Anthony Walker,53,4.39,89,4.5,9,6,1,6,6,8.1,6,37.42,Needs Improvement
3005,James Schmidt,69,3.51,88,4.4,9,21,9,9,10,7.6,3,58.46,Needs Improvement
3006,Kristy Sanders,49,6.09,63,1.8,5,74,1,7,1,10.3,10,23.74,Needs Improvement
3007,Mrs. Pamela Jackson MD,87,7.45,74,1.7,2,94,9,3,2,5.8,3,52.2,Needs Improvement
3008,Jeremy Gibson,51,6.96,91,4.1,10,116,9,2,5,7.0,2,45.45,Needs Improvement
3009,Jason Perkins,87,11.71,58,4.0,10,93,8,4,1,11.9,10,41.07,Needs Improvement
3010,Anna Sanchez,55,13.02,59,1.8,1,255,9,6,10,9.7,8,49.14,Needs Improvement
3011,Jodi Dunn,52,7.74,74,1.2,7,119,8,2,2,11.6,1,36.46,Needs Improvement
3012,Samantha Decker,73,8.34,66,4.3,4,193,9,2,6,9.6,6,60.66,Average
3013,Kelly Freeman,86,6.82,67,1.3,2,290,7,8,7,9.3,7,59.48,Needs Improvement
3014,Samantha Andrews,52,8.32,67,5.0,7,170,1,9,6,4.9,6,43.71,Needs Improvement
3015,Tammy Smith,68,9.59,76,2.9,3,103,1,6,5,4.4,4,39.06,Needs Improvement
3016,Carlos Morrison,65,9.9,80,1.0,6,192,2,7,3,9.1,1,44.78,Needs Improvement
3017,Deborah Johnson,46,7.88,97,3.7,7,261,7,6,7,10.2,3,64.24,Average
3018,Eugene Evans,60,5.29,58,4.0,10,224,4,1,3,4.4,1,37.7,Needs Improvement
3019,Kimberly Thomas,76,14.74,59,4.8,9,45,4,4,1,3.6,10,10.02,Needs Improvement
3020,James Stein,76,7.19,52,1.1,10,133,10,5,1,3.7,5,31.36,Needs Improvement
3021,Jesse Ramirez,64,13.16,93,3.4,4,228,1,5,8,11.6,3,61.61,Average
3022,Bradley Vazquez,69,13.01,86,1.9,9,249,10,3,1,4.0,2,36.09,Needs Improvement
3023,Jake Barrett,76,2.34,75,3.2,10,259,9,4,3,5.1,4,45.21,Needs Improvement
3024,Sarah Robinson,73,11.16,57,4.0,9,241,6,7,1,8.1,8,40.95,Needs Improvement
3025,Tara Williams,96,7.82,100,2.5,5,279,10,6,10,7.2,7,63.58,Average
3026,Michelle Calhoun,81,3.3,100,2.4,6,43,1,3,1,11.6,2,58.76,Needs Improvement
3027,Deborah Higgins,46,3.71,94,2.4,5,180,10,4,9,7.1,1,62.56,Average
3028,Amanda Mullen,71,9.33,96,3.2,2,35,6,10,10,10.7,6,67.87,Average
3029,Michael Elliott,96,6.51,62,5.0,5,276,3,5,10,9.9,1,73.77,Average
3030,Heather Rivera,97,12.67,60,3.3,10,135,6,1,2,3.2,2,34.35,Needs Improvement
3031,Wayne Ward,96,13.52,55,3.4,10,185,7,3,10,5.8,6,34.86,Needs Improvement
3032,Jennifer Floyd,44,10.95,73,2.1,0,184,1,2,1,6.6,4,30.61,Needs Improvement
3033,Samuel Aguilar,57,12.17,81,2.5,4,119,6,5,7,4.9,4,32.2,Needs Improvement
3034,Eileen Murphy,93,12.09,76,3.3,1,70,1,8,4,7.6,4,44.32,Needs Improvement
3035,Justin Taylor,75,7.8,88,4.7,5,274,9,3,9,10.3,10,63.26,Average
3036,Eric Gallagher,94,1.79,50,2.5,3,297,2,4,8,4.0,4,59.14,Needs Improvement
3037,Phyllis Haynes,69,4.67,79,4.9,9,120,2,7,3,9.8,1,56.74,Needs Improvement
3038,Joshua Smith,73,14.56,55,1.3,10,11,8,9,1,7.4,2,28.86,Needs Improvement
3039,Erik Brewer,93,7.13,75,1.8,7,43,6,6,3,9.5,9,43.57,Needs Improvement
3040,Trevor Morris,93,6.23,97,1.2,3,109,5,9,4,5.2,5,40.45,Needs Improvement
3041,Donna Hawkins,70,8.38,74,4.4,7,78,8,10,10,8.5,8,49.2,Needs Improvement
3042,Carla Henry,44,2.02,71,3.3,8,5,3,6,4,5.3,9,29.26,Needs Improvement
3043,Tracy Anderson,58,10.66,89,2.6,1,219,10,8,10,5.6,9,46.08,Needs Improvement
3044,George Jenkins,66,14.57,75,1.8,2,78,5,1,10,4.3,4,27.77,Needs Improvement
3045,Richard Mullins,59,2.55,58,4.8,10,234,8,2,7,8.8,6,45.04,Needs Improvement
3046,Desiree Hanson,99,14.46,92,1.6,3,237,4,4,8,5.9,9,38.98,Needs Improvement
3047,Robert Lynch,60,6.25,84,4.1,0,142,5,2,8,7.4,5,63.99,Average
3048,Kristi Evans MD,40,13.83,91,4.3,9,298,10,8,5,5.6,7,44.23,Needs Improvement
3049,Thomas Medina,56,2.95,66,4.2,6,72,2,7,2,7.2,10,44.5,Needs Improvement
3050,Alicia Lindsey,80,2.09,92,3.6,9,27,3,10,10,5.5,6,48.12,Needs Improvement
3051,Kimberly Martinez,53,8.42,83,4.3,7,222,8,6,4,6.0,2,48.24,Needs Improvement
3052,Nathan Burgess,55,12.27,72,4.6,1,35,5,5,2,8.1,2,51.44,Needs Improvement
3053,Andrew Acosta,43,7.14,52,2.7,4,197,2,10,6,9.0,8,38.77,Needs Improvement
3054,Raymond Smith,80,10.53,59,4.1,10,128,6,1,6,7.5,7,35.15,Needs Improvement
3055,Joseph Moran,62,2.5,99,4.4,6,128,2,2,1,11.5,3,66.03,Average
3056,Allison Evans,56,4.88,71,3.4,4,244,7,5,10,9.3,10,61.2,Average
3057,David Mitchell,99,13.76,99,2.5,3,8,2,3,8,7.9,9,35.19,Needs Improvement
3058,Sandra Parker,81,13.18,91,2.6,5,140,6,8,7,3.5,2,48.49,Needs Improvement
3059,Cameron Jackson,100,1.13,69,1.4,10,191,7,4,9,6.8,9,46.46,Needs Improvement
3060,Russell Hinton,77,14.3,52,1.3,10,86,1,10,7,7.2,1,27.98,Needs Improvement
3061,Mikayla Johnson,44,3.98,66,3.9,0,198,3,10,9,4.6,10,50.48,Needs Improvement
3062,Amanda Henderson,83,8.49,82,3.7,4,208,3,7,2,5.9,9,41.71,Needs Improvement
3063,Vanessa Galloway,67,4.3,80,2.1,6,141,7,2,10,2.9,8,41.36,Needs Improvement
3064,Sarah Williams,91,2.83,52,1.7,9,156,2,4,3,3.5,9,16.59,Needs Improvement
3065,Margaret Williams,44,3.36,74,2.9,3,188,4,5,2,2.7,10,39.26,Needs Improvement
3066,Morgan Dalton,100,4.93,87,3.5,5,171,8,1,7,4.9,7,61.87,Average
3067,Tim Best,48,5.85,72,4.4,5,35,10,8,3,10.7,5,58.65,Needs Improvement
3068,Steve Luna,99,4.2,88,3.8,2,56,2,3,1,7.4,10,55.58,Needs Improvement
3069,Vickie Jones,63,14.54,93,4.6,1,199,5,9,3,5.4,7,52.74,Needs Improvement
3070,Katelyn Graham,78,11.69,61,1.2,3,233,8,10,6,11.0,9,54.77,Needs Improvement
3071,Kelsey Wallace,80,4.01,51,3.9,8,49,5,10,7,6.2,4,49.89,Needs Improvement
3072,Paula Brown,82,6.16,63,4.6,1,182,2,1,4,7.4,6,47.51,Needs Improvement
3073,James Smith,81,1.4,50,1.9,0,86,7,1,1,11.2,7,56.09,Needs Improvement
3074,James Reynolds,99,10.35,55,2.1,8,238,1,7,9,8.9,10,30.92,Needs Improvement
3075,Sharon Dunn,72,12.13,68,2.2,0,58,2,5,7,9.8,10,34.47,Needs Improvement
3076,Sheri Miller,99,10.34,75,3.0,8,59,10,1,8,7.6,5,42.86,Needs Improvement
3077,Kyle Russell,93,8.1,69,1.4,3,56,9,3,3,6.1,8,41.0,Needs Improvement
3078,Edward Johnson,87,2.48,72,4.1,3,241,3,2,9,2.1,1,62.87,Average
3079,Sherry Hobbs,47,8.33,63,1.4,10,279,8,9,10,10.3,4,44.24,Needs Improvement
3080,William Torres,77,7.26,96,5.0,7,258,1,5,3,10.7,3,72.71,Average
3081,Robert Christensen,56,2.01,94,4.3,1,65,9,1,10,10.8,10,63.71,Average
3082,Michael Hayes,66,7.94,62,4.3,2,297,10,5,3,4.0,1,56.01,Needs Improvement
3083,April Thompson,40,7.27,60,3.0,0,215,10,9,10,9.4,1,69.76,Average
3084,Lisa Brown,40,10.99,54,2.8,0,56,8,8,2,11.1,3,51.5,Needs Improvement
3085,Courtney Lee,65,9.06,79,3.7,4,253,7,4,8,8.7,1,61.44,Average
3086,Joshua Patton,52,2.99,87,2.3,4,60,9,8,4,2.2,1,57.87,Needs Improvement
3087,Vanessa Phillips,68,14.48,68,1.6,8,1,4,7,2,5.6,4,10.41,Needs Improvement
3088,Daniel Allen,88,4.56,74,4.4,9,60,10,1,3,7.8,1,48.92,Needs Improvement
3089,Jo Kim,54,12.4,79,1.3,5,19,6,6,4,9.4,10,29.51,Needs Improvement
3090,Jessica Gates,76,4.05,58,3.4,1,51,1,7,1,11.7,10,57.16,Needs Improvement
3091,Steve Rocha,100,11.94,98,2.3,10,250,10,3,6,11.9,7,53.27,Needs Improvement
3092,Rebecca Riddle,63,13.28,73,1.3,6,175,4,1,3,8.5,9,13.69,Needs Improvement
3093,Andrew Lane,54,10.14,79,1.0,2,171,6,4,5,11.4,7,39.47,Needs Improvement
3094,Michelle Stark,79,9.18,77,4.8,9,242,2,9,3,3.0,9,33.78,Needs Improvement
3095,Robert Cuevas,76,6.09,65,3.5,0,133,5,10,6,5.0,1,69.65,Average
3096,Katherine Smith,78,8.03,70,4.0,8,52,8,3,7,3.2,5,41.03,Needs Improvement
3097,Denise Schultz,75,12.75,77,3.8,5,69,10,7,5,9.0,3,51.8,Needs Improvement
3098,Terry Diaz,43,6.02,57,4.8,4,135,7,5,4,6.5,8,46.08,Needs Improvement
3099,Wayne Taylor,44,9.45,96,3.2,10,112,4,4,9,6.0,4,34.41,Needs Improvement
3100,Jay Graham,76,2.07,86,4.2,8,229,10,6,6,9.1,6,71.45,Average
3101,William Howell,59,5.43,98,3.3,4,149,2,10,8,6.2,4,60.18,Average
3102,Jennifer Roberts,75,13.32,65,4.8,2,5,8,5,7,10.3,6,63.99,Average
3103,Kyle Thornton,53,10.18,71,1.0,10,30,4,6,6,9.9,4,23.94,Needs Improvement
3104,Diane Villa,45,6.68,53,4.9,3,295,9,7,6,7.6,10,60.14,Average
3105,Jack Rodriguez,50,3.33,53,1.0,4,152,9,8,5,6.7,2,46.63,Needs Improvement
3106,Brian Fernandez,73,13.13,76,3.6,10,45,5,10,7,2.7,5,29.65,Needs Improvement
3107,Barbara Wilson,61,9.26,50,1.8,2,42,3,9,6,3.8,7,20.19,Needs Improvement
3108,William Combs,95,12.18,82,1.1,8,144,3,3,7,6.2,7,20.89,Needs Improvement
3109,Crystal Smith,88,2.31,53,4.1,10,268,3,5,8,6.3,7,57.74,Needs Improvement
3110,Ms. Shannon Berry,50,6.39,59,4.4,5,18,5,7,2,4.0,2,49.86,Needs Improvement
3111,Deanna Myers,94,12.35,55,4.7,7,176,3,3,3,5.2,6,30.43,Needs Improvement
3112,Robert Price,44,8.32,83,1.0,0,131,4,4,1,10.7,4,41.96,Needs Improvement
3113,Stephanie Dennis,57,14.27,82,2.0,8,68,2,4,3,2.3,9,0.0,Needs Improvement
3114,Richard Cobb,93,10.66,80,4.8,4,91,4,1,10,8.6,1,65.62,Average
3115,Lisa Casey,99,11.31,66,3.6,1,248,7,3,9,8.3,3,69.59,Average
3116,Jennifer Wells,54,11.21,98,1.7,4,24,8,5,5,3.0,2,43.33,Needs Improvement
3117,Ryan Kaufman,80,7.82,96,3.1,9,45,5,5,7,11.0,2,55.3,Needs Improvement
3118,Phillip Armstrong,82,11.55,92,1.8,0,248,9,9,3,3.9,8,40.86,Needs Improvement
3119,Danielle Davis,47,12.53,57,4.1,4,33,5,2,5,2.7,9,5.62,Needs Improvement
3120,Lisa Donaldson,67,12.14,82,3.9,3,219,9,9,3,10.9,9,58.67,Needs Improvement
3121,David Rice,80,2.66,50,1.1,9,211,5,8,5,2.1,9,29.15,Needs Improvement
3122,Tommy Hickman,46,13.76,81,2.7,5,233,6,10,4,7.3,1,42.74,Needs Improvement
3123,Yolanda Taylor DVM,42,7.3,80,2.6,0,265,6,9,1,10.9,1,75.85,Average
3124,Jessica Rhodes,76,13.76,91,1.4,8,165,5,5,2,7.3,2,30.54,Needs Improvement
3125,Shelby Farmer,73,14.5,53,2.8,3,227,9,9,3,3.7,7,28.11,Needs Improvement
3126,Kathy Parker,98,14.11,97,3.6,8,171,6,8,5,8.7,10,49.25,Needs Improvement
3127,Heather Pugh,85,4.68,80,1.7,10,152,8,8,2,10.9,3,54.38,Needs Improvement
3128,Marcus Frederick,61,3.95,51,1.6,1,6,1,1,5,6.8,1,40.31,Needs Improvement
3129,Adam Torres,71,2.1,51,1.8,7,190,1,10,1,9.3,1,58.24,Needs Improvement
3130,Mitchell Shaw,53,12.48,56,4.8,1,54,9,9,3,2.6,4,43.59,Needs Improvement
3131,Kristi Miller,96,3.44,62,1.4,8,246,8,5,4,10.2,8,51.62,Needs Improvement
3132,Debbie Fox,91,13.22,72,2.8,9,122,1,7,5,9.8,6,30.55,Needs Improvement
3133,Laura Ross,43,5.69,67,2.9,7,94,8,5,3,3.0,4,31.18,Needs Improvement
3134,Cynthia Ortiz,99,12.97,98,2.8,3,262,3,8,4,10.2,7,62.01,Average
3135,Amber Dawson,71,6.14,87,3.4,7,120,8,8,10,10.4,10,48.45,Needs Improvement
3136,Cynthia Golden,53,1.37,57,4.6,3,154,3,3,9,9.0,9,61.19,Average
3137,Jordan Shields,95,1.27,77,1.2,2,181,3,7,5,3.1,2,60.52,Average
3138,Krista Myers,99,11.49,87,1.4,4,221,3,4,1,5.6,5,47.09,Needs Improvement
3139,David Fischer,84,4.72,81,2.6,9,268,4,6,9,3.0,4,54.1,Needs Improvement
3140,Sherri Hayes,56,11.2,90,3.0,3,2,3,5,7,6.3,7,31.41,Needs Improvement
3141,Deborah Rowe,69,1.53,100,3.3,10,203,10,8,1,2.6,7,54.74,Needs Improvement
3142,Jason Hoffman,79,1.19,65,3.1,8,296,6,5,1,10.1,3,58.33,Needs Improvement
3143,Jennifer Fleming,51,7.08,97,3.3,10,8,7,10,6,5.5,9,34.27,Needs Improvement
3144,Lori Johnson,96,6.83,75,4.2,7,117,9,4,5,7.3,9,57.35,Needs Improvement
3145,Stephanie Jefferson,61,2.73,95,4.2,3,96,2,4,10,7.3,9,52.58,Needs Improvement
3146,Sarah Larson,87,3.15,64,2.9,4,143,3,6,6,4.3,2,68.1,Average
3147,Timothy Smith,80,4.57,76,4.3,8,179,2,4,10,8.4,3,53.12,Needs Improvement
3148,Lori Henry,68,5.45,95,1.9,6,230,7,7,8,8.0,3,62.65,Average
3149,Jamie Ramos,72,12.35,88,3.1,0,123,6,9,3,7.9,4,68.66,Average
3150,Karen Anderson,98,10.78,96,1.8,4,278,7,3,8,6.9,10,45.82,Needs Improvement
3151,Gina Chaney,75,12.03,80,2.7,8,283,10,6,2,8.8,9,47.23,Needs Improvement
3152,Shannon Lee,46,9.63,56,3.0,4,238,6,3,8,7.2,2,41.92,Needs Improvement
3153,Tina Mason,75,11.09,63,1.0,9,131,4,9,4,9.0,2,26.98,Needs Improvement
3154,Dr. Alan White,59,6.09,89,4.5,4,37,7,3,10,10.2,9,67.68,Average
3155,Eric Garcia,56,6.33,93,4.7,9,50,5,3,10,2.2,5,40.94,Needs Improvement
3156,Jesus Harris,81,8.14,99,3.3,3,119,3,7,7,10.7,2,70.3,Average
3157,Melissa Bowers,67,11.72,82,1.9,9,56,1,7,1,8.4,9,15.36,Needs Improvement
3158,Brandy Mckee,55,1.73,75,1.4,3,247,1,8,9,4.1,1,46.85,Needs Improvement
3159,James Leon,70,11.25,54,2.8,5,44,4,1,8,11.1,4,46.86,Needs Improvement
3160,Michael Alexander,92,10.73,51,4.0,4,179,10,3,9,3.0,7,51.62,Needs Improvement
3161,Andrea Perkins,75,11.94,77,1.9,4,220,9,7,9,6.8,9,45.81,Needs Improvement
3162,Matthew Cruz,52,11.26,100,2.7,2,58,9,3,6,7.0,8,42.29,Needs Improvement
3163,Steven Perkins,81,8.62,99,1.0,6,162,5,9,1,11.9,5,62.33,Average
3164,Melissa Ross,55,11.57,98,3.1,1,108,1,6,7,4.2,5,41.81,Needs Improvement
